unit,n,pearson,spearman,rmse,mae
P00720,171,0.7655882351553556,0.774656542824175,1.116302742823109,0.7792928416329855
P00648,114,0.8347083458080877,0.7400936014731703,1.6634946292765251,1.1045961407296745
P00974,63,0.7097811384387835,0.8161879144290004,2.204100246782531,1.399173503399467
Q13526,56,0.6495657721512302,0.699090848581175,0.48268356386258293,0.3761429516333858
P0ABQ4,54,0.5281759878303178,0.3226974708507748,0.86543439586016,0.7268476449106549
P02185,49,0.7471698382889324,0.696569155791675,0.5132361465647592,0.4072758148414765
P01053,49,0.876536863657492,0.9002780686110214,0.8957984834604428,0.6491846586531865
P61626,48,0.6438625053474438,0.5931393834129396,0.9831374871395927,0.6378044890417519
P00651,47,0.797993477413582,0.7936168370810741,1.3401311527463833,0.9788522813278728
P61823,46,0.8209436331108045,0.8545258389953431,2.5505547323984534,1.692281242976392
P32081,43,0.6267304150531761,0.5593687473311175,1.0820082185322983,0.7532271979948718
P03050,42,0.7322752411923683,0.737162802017287,1.5729889147276952,1.1037927795905635
P0A7Y4,39,0.7165130202894942,0.5708790938026242,1.0393471962373033,0.7063362965198673
P00698,39,0.6605407240339489,0.5482532348345803,0.8393500667022105,0.6232290826441413
P00044,35,0.5369927399729175,0.46489149466799123,1.289000880654545,0.9426440670802575
P0A2D5,31,0.7654021921443058,0.7629789859672895,1.3056996599228559,0.9491419876075171
P29160,28,0.615866475484351,0.6048166392993979,0.4222751149641113,0.3526527276877886
P05798,27,0.6684717441811538,0.6904039388844196,1.013068828146986,0.6888165074710023
P02417,26,0.8637025562842402,0.8746794451652776,0.9964871054402266,0.6694441835150867
P00818,25,0.31417404360596407,0.5024087689806485,1.2802468334325408,0.8466891850276302
P00711,23,0.21138390507289176,0.1359703711409043,1.1616180817175688,0.9372009298472568
P13123,22,0.7673611068837114,0.7499296280220165,0.6352628113299841,0.5034687183237108
P62942,22,0.6541734356991002,0.5810276679841898,1.039616176831744,0.8385032049422715
P03051,19,0.7744149838418415,0.8744042816286334,0.8748038439948755,0.7292449303461246
P37001,19,-0.28434969445571734,-0.3192982456140351,0.6579682779774296,0.5226327077218049
P07107,18,0.7809356163384118,0.7110423116615068,0.8785125775576723,0.6409519359306272
P00282,18,0.09387369063928125,0.4336603572231522,3.1264390432661093,1.617438324844187
P41016,17,0.5244760216112124,0.32598039215686275,0.4877518226643011,0.3298439913212678
P61024,15,0.7530634920585103,0.7892857142857141,0.7590875026717706,0.5620141215048786
